"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 06 00:03:45 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","2632","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","uploadFileTest","Test to verify that it is possible to upload file","Test to verify that it is possible to upload file"
"passed","Tue Jul 06 00:03:45 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","2264","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","findByStatus","Find by status for -  available","Test to verify that it is possible to  find a pet by status"
"passed","Tue Jul 06 00:03:47 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","353","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","updateWithFormDataTest","Test to verify that it is possible to update existing pet with form data","Test to verify that it is possible to update existing pet with form data"
"passed","Tue Jul 06 00:03:47 UTC 2021","Tue Jul 06 00:03:48 UTC 2021","120","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","createNewPetTest","Create a new pet with status - available","Test to verify that it is possible to create a new pet"
"passed","Tue Jul 06 00:03:47 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","404","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","updatePetTest","Test to verify that it is possible to update pet","Test to verify that it is possible to update pet"
"passed","Tue Jul 06 00:03:47 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","223","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","findByStatus","Find by status for -  sold","Test to verify that it is possible to  find a pet by status"
"passed","Tue Jul 06 00:03:48 UTC 2021","Tue Jul 06 00:03:48 UTC 2021","116","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","createNewPetTest","Create a new pet with status - pending","Test to verify that it is possible to create a new pet"
"passed","Tue Jul 06 00:03:48 UTC 2021","Tue Jul 06 00:03:48 UTC 2021","114","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","createNewPetTest","Create a new pet with status - sold","Test to verify that it is possible to create a new pet"
"passed","Tue Jul 06 00:03:45 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","2428","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","deletePetTest","Test to verify that pet can be deleted","Test to verify that pet can be deleted"
"passed","Tue Jul 06 00:03:47 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","321","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","findByStatus","Find by status for -  pending","Test to verify that it is possible to  find a pet by status"
"passed","Tue Jul 06 00:03:45 UTC 2021","Tue Jul 06 00:03:47 UTC 2021","2549","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesStoreApiTest","getByItTest","Test to verify that it is possible to get a pet by id","Test to verify that it is possible to get a pet by id"
